document_id,company_ticker,company_name,source_type,fiscal_period,source_url,source_hash,chunk_count,modalities,chunk_types,normalized_metrics,section_or_page_count,corpus_id,corpus_version_hash
AAPL:raw_sec_filing:10-K:2024,AAPL,Apple,sec_filing,FY2024,fixture://raw/sec/AAPL-2024-10k.txt,debfbfce8b79ab88984ef0401d4e096203a1c90e20e95dabc1b27d8520f1ebfc,41,table|text,sec_filing_paragraph|sec_filing_section|sec_filing_table,revenue|risk_exposure,5,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
AAPL:raw_transcript:2024:Q4,AAPL,Apple,transcript,FY2024,fixture://raw/transcripts/AAPL-fy2024-q4.txt,090e75f3d3f137e39efce3f752f1fea4a9a36b027a2e56257cc09577216900ef,3,transcript,transcript_turn,operating_margin|revenue_guidance|risk_exposure,3,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
AAPL:raw_xbrl_companyfacts:2024:FY,AAPL,Apple,sec_xbrl_companyfacts,FY2024,fixture://raw/xbrl/AAPL-companyfacts-2024.json,8bc2d8d3915aa2dd01c8cbf1e860cd102d3dbb654acb4c581e8fb3a1b33263ab,4,xbrl,xbrl_fact,operating_expense|operating_income|revenue|risk_exposure,4,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
AMZN:raw_sec_filing:10-K:2024,AMZN,Amazon,sec_filing,FY2024,fixture://raw/sec/AMZN-2024-10k.txt,4768b09aed4a4c11eeac7b803b2521f759ad2c4361c49996212c8afa2e2b348f,41,table|text,sec_filing_paragraph|sec_filing_section|sec_filing_table,revenue|risk_exposure,5,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
AMZN:raw_transcript:2024:Q4,AMZN,Amazon,transcript,FY2024,fixture://raw/transcripts/AMZN-fy2024-q4.txt,c586b49c07a5af6398bc5dedf2658f7dab2adda95e2e1496c0fc5e2c09231f7f,3,transcript,transcript_turn,operating_margin|revenue_guidance|risk_exposure,3,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
AMZN:raw_xbrl_companyfacts:2024:FY,AMZN,Amazon,sec_xbrl_companyfacts,FY2024,fixture://raw/xbrl/AMZN-companyfacts-2024.json,c8ee5b5a1680186ffa6cfc22eac8208ad53ea11a0ee24772d07f5fa3d6c06fce,4,xbrl,xbrl_fact,operating_expense|operating_income|revenue|risk_exposure,4,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
GOOGL:raw_sec_filing:10-K:2024,GOOGL,Alphabet,sec_filing,FY2024,fixture://raw/sec/GOOGL-2024-10k.txt,9373eac7399446fdf4ea8402fb8a49ba58314cdaf99d0a6045576010a89fc8b0,41,table|text,sec_filing_paragraph|sec_filing_section|sec_filing_table,revenue|risk_exposure,5,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
GOOGL:raw_transcript:2024:Q4,GOOGL,Alphabet,transcript,FY2024,fixture://raw/transcripts/GOOGL-fy2024-q4.txt,4a1bcdfceffac8eaca3b2b6dc002690169e3532de9f86eaaea06048ffef5da09,3,transcript,transcript_turn,operating_margin|revenue_guidance|risk_exposure,3,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
GOOGL:raw_xbrl_companyfacts:2024:FY,GOOGL,Alphabet,sec_xbrl_companyfacts,FY2024,fixture://raw/xbrl/GOOGL-companyfacts-2024.json,05391a93d9522011b16151ea97e48f5d1e5a6ff0b0a74f22076c32bb606560ed,4,xbrl,xbrl_fact,operating_expense|operating_income|revenue|risk_exposure,4,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
JPM:raw_sec_filing:10-K:2024,JPM,JPMorgan Chase,sec_filing,FY2024,fixture://raw/sec/JPM-2024-10k.txt,32a467cbbe8465bfac8d07c25662a46130051a14cc25099b8c6f921474ceec9e,41,table|text,sec_filing_paragraph|sec_filing_section|sec_filing_table,revenue|risk_exposure,5,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
JPM:raw_transcript:2024:Q4,JPM,JPMorgan Chase,transcript,FY2024,fixture://raw/transcripts/JPM-fy2024-q4.txt,4ca95b52c42b178e7442466a368650dc09169ffb1b70d667dd377906d22dbe8a,3,transcript,transcript_turn,operating_margin|revenue_guidance|risk_exposure,3,phase11_raw_financial_document_corpus,a6bab35d29abaf6691961db2a86203ea75219e57c0e6dc5c25093084bea1e7e3
