claim_id,family,claim_text,question,company_tickers,fiscal_periods,allowed_source_types,expected_verdict,requires_citation,expected_evidence_count,numeric_check_count,known_distractor_count
phase6:aapl:single_company_trend,single_company_trend,Apple's FY2024 revenue grew versus FY2023.,"Did Apple's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",AAPL,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:aapl:cross_company_comparison,cross_company_comparison,Apple's FY2024 operating margin exceeded Microsoft's FY2024 operating margin.,"Was Apple's FY2024 operating margin higher than Microsoft's after normalizing company, period, metric, and unit?",AAPL|MSFT,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:aapl:management_claim_verification,management_claim_verification,Apple's FY2024 margin expansion was driven by durable operating leverage.,Can Apple's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,AAPL,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:aapl:risk_contradiction,risk_contradiction,Apple's FY2024 risk exposure materially decreased.,Does Apple's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,AAPL,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:aapl:guidance_vs_actuals,guidance_vs_actuals,Apple's FY2024 actual revenue was within the cited guidance range.,Did Apple's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,AAPL,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:aapl:chart_table_reconciliation,chart_table_reconciliation,Apple's FY2024 deck chart reconciles to its reported financial metric.,Does Apple's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,AAPL,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:msft:single_company_trend,single_company_trend,Microsoft's FY2024 revenue grew versus FY2023.,"Did Microsoft's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",MSFT,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:msft:cross_company_comparison,cross_company_comparison,Microsoft's FY2024 operating margin exceeded NVIDIA's FY2024 operating margin.,"Was Microsoft's FY2024 operating margin higher than NVIDIA's after normalizing company, period, metric, and unit?",MSFT|NVDA,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:msft:management_claim_verification,management_claim_verification,Microsoft's FY2024 margin expansion was driven by durable operating leverage.,Can Microsoft's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,MSFT,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:msft:risk_contradiction,risk_contradiction,Microsoft's FY2024 risk exposure materially decreased.,Does Microsoft's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,MSFT,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:msft:guidance_vs_actuals,guidance_vs_actuals,Microsoft's FY2024 actual revenue was within the cited guidance range.,Did Microsoft's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,MSFT,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:msft:chart_table_reconciliation,chart_table_reconciliation,Microsoft's FY2024 deck chart reconciles to its reported financial metric.,Does Microsoft's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,MSFT,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:nvda:single_company_trend,single_company_trend,NVIDIA's FY2024 revenue grew versus FY2023.,"Did NVIDIA's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",NVDA,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:nvda:cross_company_comparison,cross_company_comparison,NVIDIA's FY2024 operating margin exceeded Amazon's FY2024 operating margin.,"Was NVIDIA's FY2024 operating margin higher than Amazon's after normalizing company, period, metric, and unit?",NVDA|AMZN,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:nvda:management_claim_verification,management_claim_verification,NVIDIA's FY2024 margin expansion was driven by durable operating leverage.,Can NVIDIA's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,NVDA,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:nvda:risk_contradiction,risk_contradiction,NVIDIA's FY2024 risk exposure materially decreased.,Does NVIDIA's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,NVDA,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:nvda:guidance_vs_actuals,guidance_vs_actuals,NVIDIA's FY2024 actual revenue was within the cited guidance range.,Did NVIDIA's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,NVDA,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:nvda:chart_table_reconciliation,chart_table_reconciliation,NVIDIA's FY2024 deck chart reconciles to its reported financial metric.,Does NVIDIA's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,NVDA,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:amzn:single_company_trend,single_company_trend,Amazon's FY2024 revenue grew versus FY2023.,"Did Amazon's FY2024 revenue trend improve versus FY2023, and is the trend backed by filing facts rather than narrative-only evidence?",AMZN,FY2023|FY2024,sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
phase6:amzn:cross_company_comparison,cross_company_comparison,Amazon's FY2024 operating margin exceeded Alphabet's FY2024 operating margin.,"Was Amazon's FY2024 operating margin higher than Alphabet's after normalizing company, period, metric, and unit?",AMZN|GOOGL,FY2024,sec_xbrl_companyfacts|sec_filing,support,True,4,2,2
phase6:amzn:management_claim_verification,management_claim_verification,Amazon's FY2024 margin expansion was driven by durable operating leverage.,Can Amazon's management claim that FY2024 margin expansion was driven by durable operating leverage be fully verified from cited documents?,AMZN,FY2023|FY2024,transcript|sec_xbrl_companyfacts|sec_filing,insufficient,True,3,2,2
phase6:amzn:risk_contradiction,risk_contradiction,Amazon's FY2024 risk exposure materially decreased.,Does Amazon's FY2024 risk disclosure contradict the claim that its key supply-chain or demand exposure materially decreased?,AMZN,FY2023|FY2024,sec_filing|transcript|sec_xbrl_companyfacts,contradict,True,4,1,2
phase6:amzn:guidance_vs_actuals,guidance_vs_actuals,Amazon's FY2024 actual revenue was within the cited guidance range.,Did Amazon's FY2024 actual revenue fall within the cited management guidance or analyst-estimate range?,AMZN,FY2024,transcript|analyst_estimates|sec_xbrl_companyfacts,support,True,3,1,2
phase6:amzn:chart_table_reconciliation,chart_table_reconciliation,Amazon's FY2024 deck chart reconciles to its reported financial metric.,Does Amazon's FY2024 investor-deck chart or table reconcile to the corresponding SEC/XBRL reported metric?,AMZN,FY2024,investor_deck|sec_xbrl_companyfacts|sec_filing,support,True,3,1,2
