chunk_id,document_id,chunk_type,modality,company_ticker,source_type,fiscal_period,section_or_page,source_span_start,source_span_end,text_length,normalized_metric,numeric_value,unit,currency,chunk_hash,source_hash,source_url
raw:sec_filing:AAPL:FY2024:sec_filing_section:cb204207993e,AAPL:raw_sec_filing:10-K:2024,sec_filing_section,text,AAPL,sec_filing,FY2024,Item 1 - Business,18,2414,2396,,,,,cb204207993e2fcbc6e9b4b2f134e5c564a4bb7b936a35f2e696d516effc0958,debfbfce8b79ab88984ef0401d4e096203a1c90e20e95dabc1b27d8520f1ebfc,fixture://raw/sec/AAPL-2024-10k.txt
raw:sec_filing:AAPL:FY2024:sec_filing_paragraph:3bcddebcddb1,AAPL:raw_sec_filing:10-K:2024,sec_filing_paragraph,text,AAPL,sec_filing,FY2024,Item 1 - Business,18,277,259,,,,,3bcddebcddb1e5abb2089a48dbeb07cef6ca427483ffda20a96c363e2d930e4b,debfbfce8b79ab88984ef0401d4e096203a1c90e20e95dabc1b27d8520f1ebfc,fixture://raw/sec/AAPL-2024-10k.txt
raw:sec_filing:AAPL:FY2024:sec_filing_paragraph:3c1bd9c52b04,AAPL:raw_sec_filing:10-K:2024,sec_filing_paragraph,text,AAPL,sec_filing,FY2024,Item 1 - Business,278,547,269,,,,,3c1bd9c52b0424f1b6b8185cec003ef91dbdaecf782517b8168626233210a57e,debfbfce8b79ab88984ef0401d4e096203a1c90e20e95dabc1b27d8520f1ebfc,fixture://raw/sec/AAPL-2024-10k.txt
raw:sec_filing:AAPL:FY2024:sec_filing_paragraph:d4280bcb5cdd,AAPL:raw_sec_filing:10-K:2024,sec_filing_paragraph,text,AAPL,sec_filing,FY2024,Item 1 - Business,548,822,274,,,,,d4280bcb5cddcd5ca62ec119fe634a1bf3772a66dd1524dd74cd8f3fe065b8a8,debfbfce8b79ab88984ef0401d4e096203a1c90e20e95dabc1b27d8520f1ebfc,fixture://raw/sec/AAPL-2024-10k.txt
raw:sec_filing:AAPL:FY2024:sec_filing_paragraph:e352a6777829,AAPL:raw_sec_filing:10-K:2024,sec_filing_paragraph,text,AAPL,sec_filing,FY2024,Item 1 - Business,823,1091,268,,,,,e352a677782984f4dbc0e1241db70b65e938a019c6a3e23eb366df355609b0db,debfbfce8b79ab88984ef0401d4e096203a1c90e20e95dabc1b27d8520f1ebfc,fixture://raw/sec/AAPL-2024-10k.txt
raw:sec_filing:AAPL:FY2024:sec_filing_paragraph:9999e2174d0d,AAPL:raw_sec_filing:10-K:2024,sec_filing_paragraph,text,AAPL,sec_filing,FY2024,Item 1 - Business,1092,1350,258,,,,,9999e2174d0ddd5afcd082e416640013ee4c37c4ad9bcf79dca86ffab80e096c,debfbfce8b79ab88984ef0401d4e096203a1c90e20e95dabc1b27d8520f1ebfc,fixture://raw/sec/AAPL-2024-10k.txt
raw:sec_filing:AAPL:FY2024:sec_filing_paragraph:678a35da7db5,AAPL:raw_sec_filing:10-K:2024,sec_filing_paragraph,text,AAPL,sec_filing,FY2024,Item 1 - Business,1351,1614,263,,,,,678a35da7db5024c7810a6a0f877566b552c33acbef314e0efc5e2f5adcf8e46,debfbfce8b79ab88984ef0401d4e096203a1c90e20e95dabc1b27d8520f1ebfc,fixture://raw/sec/AAPL-2024-10k.txt
raw:sec_filing:AAPL:FY2024:sec_filing_paragraph:6bcb3924db14,AAPL:raw_sec_filing:10-K:2024,sec_filing_paragraph,text,AAPL,sec_filing,FY2024,Item 1 - Business,1615,1883,268,,,,,6bcb3924db14e841ad16dd6d83a2f028b38749bc4aaf1c9dffbadd802dc0cc77,debfbfce8b79ab88984ef0401d4e096203a1c90e20e95dabc1b27d8520f1ebfc,fixture://raw/sec/AAPL-2024-10k.txt
raw:sec_filing:AAPL:FY2024:sec_filing_paragraph:e40c393bb305,AAPL:raw_sec_filing:10-K:2024,sec_filing_paragraph,text,AAPL,sec_filing,FY2024,Item 1 - Business,1884,2151,267,,,,,e40c393bb3058428aa4684140ad930c5c1a114ffe383ebe94cb276366a418c8f,debfbfce8b79ab88984ef0401d4e096203a1c90e20e95dabc1b27d8520f1ebfc,fixture://raw/sec/AAPL-2024-10k.txt
raw:sec_filing:AAPL:FY2024:sec_filing_paragraph:6e3a5e968654,AAPL:raw_sec_filing:10-K:2024,sec_filing_paragraph,text,AAPL,sec_filing,FY2024,Item 1 - Business,2152,2414,262,,,,,6e3a5e968654a3d5fa1b020f5f200702e1d17773cd17b7c29bd18f0ad7cc247d,debfbfce8b79ab88984ef0401d4e096203a1c90e20e95dabc1b27d8520f1ebfc,fixture://raw/sec/AAPL-2024-10k.txt
raw:sec_filing:AAPL:FY2024:sec_filing_section:7952a3a647fb,AAPL:raw_sec_filing:10-K:2024,sec_filing_section,text,AAPL,sec_filing,FY2024,Item 1A - Risk Factors,2439,4880,2441,risk_exposure,,,,7952a3a647fb6b97ecce4b920fedc182ee62606516ecfbae5ef09058d1023a3f,debfbfce8b79ab88984ef0401d4e096203a1c90e20e95dabc1b27d8520f1ebfc,fixture://raw/sec/AAPL-2024-10k.txt
